review_id,user_id,business_id,stars,date,text,useful,funny,cool
-SdBxQFz6gyElQiYTd3DAw,TNlioiWi_CpIxq4t1mklNw,f4vb5tv60WaBcwzRhKpANA,5,2015-05-14,"I absolutely ADORE this place. I come here a few times a week and get their vanilla roiboos tea and some of their pastries. Their madeleines are to DIE for. So delicious with a cup of coffee or their organic tea! Their sandwiches are fantastic, as is their chicken salad. And the best part about every experience is the SERVICE. The women who work in the morning from around 9-noon are absolutely fantastic, always sweet and kind. I haven't eaten there in the afternoon, so I am not familiar with who works at that time, but I am betting that they're great as well. One of my favorite places ever. Thank you Nanny's for your fantastic service and delicious food!",1,0,0
Hp6x2CKnEPaFUqZw8i2IKQ,LUL2M-R107_ovqrLqg7d6w,Gaq3S9lmjXVcuDCZ8ulppw,4,2012-08-14,"Oyshi means ""delicious"" in Japanese and this restaurant doesn't disappoint. For local Las Vegans, this is the spot to go for delicious sushi!  Locals drive from the North (about 30-40 minutes away) just to eat here.

Sushi is fresh and tasty. Get the Nuclear Bomb and the Heart Attack! Even the dessert is good. Get the creme brulee!

If you go for dinner, make sure to choose all you can eat, otherwise you'll be paying buckos! All You Eat menu is anything except sashimi. As of this writing, $26 for All you can eat dinner, $21 for lunch. It will be worth your money.

Waitstaff is casual and easygoing. They play EDM music in the background which keeps the atmosphere upbeat and fun. 

Only reason not a 5 star is because there usually is a wait. Everytime we've gone, we have had to wait 20-30 minutes for a table. 

But it's always been worth the wait!  4 stars for us!",0,0,0
nEiIGV-mXRpWlxtpyJLy4g,Omhu17Pu7pGbO7KjbYLj1A,xYeLEIWbG0IBnMGU2mWUBg,1,2015-11-23,"just want to get this out of the way. i absolutely HATE korean bbq, but i'll try to be as unbiased about this as i can. I just don't like the idea of paying to cool my own food. paying $30 at that. the only reason i came was because it was a friends birthday.

how many people can even eat close to $30 worth of food at a kbbq place? it's so expensive. all you're doing at the end of the day, is throwing pre-marinated meat onto a grill. i'd really rather go spend my $30 at a nice restaurant and get a nice rare steak. often times, you're either over\/under cooking certain meats and sometimes burning them cus you forget while in conversation with your group.

the only things i actually enjoyed eating were the beef ribs and pineapple. speaking of pineapple, Brazilian steak house would be even better. WAY better.

however, obviously, people do for some reason like korean bbq. so there must be some sort of appeal to it, and if you like it, then maybe you'll like this. or if you haven't tried kbbq. maybe this is a not so bad place to try it.

verdict: i really don't know why people are willing to pay $30 to cook their own food.

I really hate to do this. because i always want to give places a chance. but this will have to be my first 1 star review. sorry.",2,4,0
TuHxvJjPoqgZv_wqxIyCrw,yGRqCJbcbGztv5KNbR47Gg,r8kvUbiKKXW54lDFtMebnw,5,2017-11-09,"It's all in the name.  These guys are truly experts!  The customer service is amazing.  Bo and Brandon were super nice and very easy to deal with.  They were very informative and knowledgeable.  They retrieved lost files from a toasted HD and put a new one in my desktop tower.  They even backed up my files on a flashdrive that I provided, as a cautionary measure.  I felt at ease with the whole repair process.  I will continue to do business with them in the future, if need be. I typically don't write reviews but Bo and Brandon, as well as the business, deserve a good mention for their excellence in customer service.",0,0,0
jW4kQAnVXxiC-w6iPC2wkA,PIsZjx6DSYrwNgPSWlx8Lg,8TBt9XAVZIZR2Y0EqBHskg,1,2017-02-17,"They told me an hour and 15 minutes.  It's been 2 and a half....And counting.  It's maddening.  Their excuse?  ""Oh, one of the managers left and didn't tell the other manager it needed to get done."". Wtf?!    Waste of time and $95.",0,0,0
2joY3xkx0H9sXqClBxWfKw,4-CD7Gmj0qF0i-MvoF08RQ,ChQmxnYLSVIQkL8Ct8z55A,1,2015-10-07,"This is a prime example of a horrible restaurant, with horrible food,  and minimal service that is just taking advantage of being on the strip and overcharging everything except their wine. The bread was not good it seemed steal to me and store bought,  I didn't even finish my oysters on the half shell, which I would normally view as a crime, I could tell they used alot of breading in my stuffed shrimp... Instead of crab meat,  my entrees presentation reminded me of a school cafeteria lunch which is also how the potatoes and broccoli tasted with absolutely no seasoning at all. I normally don't write reviews but I am pretty upset that I just spent $60 on a piece of crap meal was pretty bad service. The waitress came over to me only when I got there to get my drink and order and then to give me my check and that's it. I hope that my review deters you from going to this place and spending way too much money for not very good food.",0,0,0
VCwz1T32ztDv_GN-QlmrHA,S4WW_eTSOftwSJxqyW9KKA,sf5jTm__NNqZ3J5rbcrueA,2,2014-05-08,"I should have set my expectations appropriately for a Primanti's location that was not The Strip. The building was nice, the service was ok at best. Our sever seemed to have a lot of tables and was hard to flag down. The small parking lot sucked, I had to park in the overflow lot and walk about half a block. 

But the food was what I came here for - it had been a long time since my last trip to PGH and a hot on a heel, with fries and slaw on it. It was not great, it was pretty dry. My wife got a corned beef, it was as dry as the Sahara. Our fried zucchini app included several ""exploded"" ones that I wouldn't expect they'd serve. So this was a pretty disappointing visit, and the food sat like a rock in my belly all night. I should have picked another Pittsburgh tradition this night.....",1,1,0
nKDQlUAM-5LTxU_XdAslMA,2JRzKU0fRdgmJkamcHXKiA,2_8YGZegR6uMiCJX5ORSnQ,3,2012-10-12,"I have been to Alfred Angelo twice, once for a bridesmaid dress and my most recent trip to look at wedding dresses for myself.

Customer service has been good.  The first time I went in for a bridesmaid dress I didn't have an appointment but one of the consultants quickly made time for me to try on a few dresses.  When I was wedding dress shopping, the consultant assisting me, Jantelle (I think) was extremely helpful.  I had initially set an appointment at Alfred Angelo a couple months previous at a wedding show otherwise I probably never would have went dress shopping there.   Ultimately, I just didn't care for any dresses at AA, they just seem very mass produced and nothing special.

The dresses themselves were probably 2 star but customer service was a solid 4.5 stars.",0,0,0
rjWik75ic-MkYVhDETkS-Q,VJhwUC6Z2qrCdWrnjYFEWQ,eDuMXO2tup9jrkBEP7_-cg,5,2011-03-29,"gut sortierter Laden, letztens erst einen klasse Leuchter gekauft, aufgehangen, angeschlossen - ging!",0,0,0
vAcHAUBOHgT58vcCzQv6kA,pnrG47iwW26dDyHCwEr8UQ,No3BsB8fFF03WmRPs1d7tw,5,2009-02-19,Awesome set and great special effects.  Well worth the dollars.,0,0,0
FhX3DeNsIs2mBWyRUGisNA,hSTQa4VovgWTil21ONgCng,eSgl0p7qFmQ4Wb4kfE05kQ,5,2016-10-12,"I am so happy to have found something as unusual as a honest and knowledgeable Mercedes mechanic with reasonable prices. No bullshit or gimmicks at all, everything is perfect. These guys are heroes!",0,0,0
sU40uXynnE15tlBHkmYO_A,wBuxfSMK8dJsw_oW0FVO_w,HRyzcsHwCuwDKD6SNhc4Tw,3,2012-05-21,"I found the front desk staff at Rowdy very friendly and attentive. I love that they use Moroccan Oil products because they are my favorite products for taming my thick, frizzy hair. My appointment was with Stacie. She was very sweet and gentle. I guess I just expected to walk out of the salon looking like I'd had my hair cut. I think she just didn't have the confidence I was looking for in a stylist and maybe that is because I was new to her. In the days after my visit, I didn't receive one comment from friends or family about my hair. No one even noticed it had been cut. Despite asking for 1 1\/2 - 2 inches off, I felt like I didn't get any more than a 1\/2 inch off and I spent almost an hour in the chair.  I would expect that from a $10 cut at Super Cuts but not for the price they charge. I may or may not go back and give them another shot someday.",3,0,0
_lww71Gs3hohZ03C6Cm6Gg,RyoTi4p5nfvWhxGjrWmCkQ,wHq1efQVz17338k_aUOX3w,4,2017-08-03,Cute little coffee shop with a great selection of pastries to compliment your drink of choice. It wasn't very packed when I was there but I kinda like that. I'll definitely be back! Gotta try some of those pastries!,0,0,0
aK93EHj2rRvtd--Z-Il8NQ,4zGUfXRDgbLktXsYf0sHjQ,2DMxJUDUlHiS7P_GKDPvxw,5,2014-05-07,"I had written my previous review of Goodyear after a frustrating experience. Within 12 hours of posting the review, I was contacted by Shane, the District Manager of Goodyear in hopes of resolving the issue. This is the quickest response from management I've ever received after a discrepancy. I am blown away by how apologetic and accomadating Shane was. 

Prior to contacting me, he had pulled up my invoice and admitted that there was certainly a mistake that was made. He offered me a refund of the overcharged $100 and an explanation. 

This was simply a misunderstanding with a new staff member who was not informed of the promotions in place. From what I understand after the explanation from Shane, Goodyear does offer the ceramic pads at the promotion price. 

I don't exactly understand what the original sales employee had tried explaining to me at the time of payment about the different brake pads that are used, but Shane assured me that Goodyear stocks quality centric pads. 

This review update is simply on the urgency that was taken by upper management to resolve customer issues regardless of how large or small they might be. Goodyear is lucky to have an employee like Shane overlooking their locations.",13,7,9
9U9OZUZ1kpBcDIPx9qfcIQ,VxdBd4XPX8Y45PM9IlqIrg,pMiz7SP82Tknv1NbVqoSfg,5,2017-04-14,"Great expansion to the first location, the food is still the same excellent quality and price, now in the much bigger location!  This has greatly reduced the wait time for me to get my favorite bbq and twice baked potato casserole fixings.  :D",2,1,0
oh96-YKoDrE2dNCdtZMXkQ,H-Pzp3IK_mfhQaIh9IKHvg,698nukvxe7mq2Fra5vDikQ,5,2016-05-21,"My first trip to Rise and Shine was to their Southern Highland location a while back.  We loved it and were in there often until it started getting so packed you can never get in there.  I was sad about the traffic but what can you do? That place was so good ... great breakfast and great service ... that it deserves all the demand!!

I was excited when this location opened!  But my first visit was disappointing.  The service was slow and not so great.  I've since chalked that up to growing pains in the new location.  

Today's visit has been wonderful and exactly what I remember from my visits to SH location.

I got the Ribeye & Scrambled Eggs w\/ their pot of bread.  The PoB is a flower pot or coffee cup with a light fluffy cinnamon bread baked in.  This is so fricken cool and tastes good too.  The steak was perfectly cooked and seasoned.  I also recommend any of their oversized bagel sandwiches.  

This is a must visit for anyone up on the west side!!",0,0,0
H6oXPlUUttRWWZnJfV9XUw,_K5SzUBpqtV9eID3JpmecA,WsOqIVMIVshUis9kUkG0KA,5,2010-01-24,"Niagara Street Cafe is a great little place. Super friendly and delicious food. The brunch is awesome, and it's a neat little quiet spot for dinner. Very cozy. The staff are really nice and seem to be into the food too. Not pretentious which suits me fine! Yum.",2,0,0
jZRMZ7QyW9xjsC-0VnbWcQ,LHZfiocfMPBlqu-6vONF_w,FaHADZARwnY4yvlvpnsfGA,4,2015-06-21,"McCarran International Airport is a bit like Dr. Jekyll and Mr. Hyde.

Nothing let's you know that you're in Vegas like flying into McCarran International Airport.  From the faint smell of tobacco to the flashing lights of the slots machine right at the gates, you know that you're in for a good time.  

If you're flying in from the East Coast, be prepare to strip off layers of clothes as you hit the furnace known as the Las Vegas air.  Queue up at the long taxi line, but no worries, it usually turns over quite quickly.  

The flight back home from McCarran is another story.  The security line is usually long and filled with disgruntled travelers who lost more than their dignity will care to admit.  Be sure to factor in enough time to get through security.  You'll need it.",5,4,4
0diKZjfCPGCNQUTdW6hJaQ,3_4-eRoGsGUj_LI0InHIDw,6Hh9JlNaxyiAdb0secIVxA,1,2012-05-25,"We went here a few weeks ago and I was less than impressed.  I'm not a huge fan of sweets, but frozen yogurt is my weakness.  I tried EVERY flavor trying to find one that was to my liking and they ALL had an awful aftertaste.  I have never ever ever ever been in a froyo place where i couldn't find SOMETHING that i liked.  Also, the girl behind the counter didn't seem to want to be there.  I know it's not the greatest job in the world, but a smile would have been nice.",2,1,0
XmuE1H6EWj8XIIazitAn_g,nXMMoDzXRByQiWH9cf-FAQ,s0QR_loWfMC2-ihWaKDT-Q,5,2017-04-22,"2017 Updated Review:  They no longer have the cafe that was attached to the store. #sadface 
I still love this store though. I try to come here at least twice a month to trade in my magazines and other what not. I'm all about recycling, so I'm glad this store exist. 
They have a large selection of eclectic books for about half the original price. The books are in good condition and the place has a peaceful friendly vibe. Lots of recycled records, cds, electronics, vintage home decorations, and arts and crafts. I always gravitate to the travel and art sections since I'm always traveling, and of course into DIY.",3,1,3
QzfAUSnxkkwYrFgMWG4obw,U2cTPixd8mQxM6CHmacHgA,QJatAcxYgK1Zp9BRZMAx7g,3,2015-11-27,"Meh... I don't see what all the fuss is about. The burgers are good, not spectacular. The frozen custard was nothing to write home about. I had the ""shack attack"".  I much prefer in'n'out for both their burgers, and those delicious shakes. Better prices as well. But if you're on the strip, and craving a burger, Shake Shack will probably hit the spot.",0,1,1
p9qxOgd7-1cvzxijRuCjdg,Ce9vPho0OnX2JrJ8VEjd_A,ubKkQVXUZy6mjcEWhRzesQ,4,2016-03-20,"Very tasty rotisserie chicken. I had 1\/4 white and my wife had dark meat meals (with a side dish and a roll) for $15.99 with a coupon. Also offers BBQ, steaks and ribs.",0,0,0
wJVU8eWhjdGvhqiTBDTD6g,xsBjO0GTAvZK8i2A8_z20g,Kn57RIWAdnVfJHI1loLXOQ,3,2015-06-15,"We are downtown people and went all the way to Scarborough (!) to get some Hakka food. 
The food was okay. I was pleasantly surprised that they had Caribbean food on the menu as well, that is not something I have seen offered before, and the chow mein with a Caribbean chicken leg plonked on top was delicious. The corn chicken soup was also amazing. 
The other food was alright, definitely not the best Hakka I have had. We ordered the veggie pakoras which were surprisingly disappointing. The chili chicken and dry beef and shrimp were all okay, but not great. Definitely watch out for them if you don't like spice - they have a serious kick. 
The price was great, though. Really well priced. 
The waiters were very kind, as well, and we got a room to ourselves without reservations, which was a plus.",0,1,0
OLZhTFr-jhZGLWwYVcoCsw,T7Nhxux5ao3Bk7ItFhpuig,DGK2scJteV6vyvJ2xeOYag,4,2017-01-28,I work nearby and frequent Brew Garden for lunch. The staff is always friendly and the sandwiches are great. I recommend the Knife & Fork Sloppy Joe. In the winter grab a seat by the fire place and fish tank. In the summer grab a seat on the patio and enjoy one of their many beers on tap.,1,1,1
vNT-tFuB91uPxa2jRKcAew,1-odnpMCU9Mo_RU97M5xmw,pZ6Jh_x1zKtrCdJOU8uBjg,4,2009-10-26,"instead of visiting so many stores how about go out and visit museums or a library so humanity will prosper instead of know what's in this season. anyways i like urban outfitters, i actually shop there but i'm just saying...",0,0,0
Erp9DMyIH2FoNZCu-WKyTQ,VJKn3QiQ2B6IoQ5d9S6vGA,vsafIOqyblej4784tqbUhQ,4,2016-01-24,Had honey hot bbq wings to start they where good . Italian grinder for the old lady and I had the pastrami and cheese . Both where delicious . Our waitress was on point . We will be back,0,0,1
_3nXp1UgVjuBFCQfXvcnVg,X0dVX5OPH1tDRZXeJs-yOQ,XHrPQKUTJXJGPH9etKUYUw,4,2010-03-10,"My boyfriend used his Marriott points to book us a room here for free (sign up for the rewards program if you use Marriott often!).  The location was much better than we imagined - it's right in Yonge Downtown and just a short walk to the subway station.  We only stayed here one night, but the location made this stay worth it.  Overnight parking cost $30 valet ($25 for self parking across the street).  Room was a basic Marriott room - the bed wasn't that comfortable, but hey I'm not complaining when it's free!  The valet guys are not that friendly, but the front desk staff were very helpful!",0,0,0
RwPdasOx5d5GMEiFC9SBRA,8cpSYxl9DT0iB31uqt9M7w,iBJkMN312pYODkVPIa2U6A,5,2016-04-12,"The Assistant Manager was super nice and great customer service, will come again! The Shrimp avocado salad was delicious!",0,0,0
3w9ARVA0bj9bmoNkSgYIXA,uPzrInBrH3kR0_iRF2s2hQ,C-Dh-6YO61mwNA3caQXW4w,1,2015-05-21,"I have been leasing from Gerson Realty for 2 years now. They have been nothing but rude. I generally speak with Keenan, who is not always prompt in returning my phone calls, but will return them within a few days. I had the displeasure of speaking with Mike Gerson, who was nothing but rude on the phone. When I would ask him a question, he would not give me a complete answer. When asking him the question again because he did not give an answer he rudely stated,""You've already asked that three times, I don't know what your looking for.""

The only reason I continue to lease from them is because I like the place that I'm located at. But I would not suggest using this company. They are rude and unprofessional. They don't even have their website updated with the correct address. Even the receptionist that answers the phone is rude at times.",2,0,0
Pve117SjW00OLii5dNzUyA,3Iduj830G4wOGsSTYzLVAA,_XN-GwzZwAyIqLKJsl2htg,5,2015-01-06,Returned here for dinner on New Year's Eve.  This time I had a great experience.  All of the food was great and the portions were large.  Maybe a little to big but I'm not sure if that's a thing.  They had a special menu that night that was five courses with plenty of different diverse choices for each.  I was able to have sushi and steak and potatoes.   The flan cheesecake was a great finish to the meal.,0,0,0
Pz9S7rayli4VkqqHZqPA4w,zHCiKB53tLzGmTUP0O4XWQ,VcJUwtuimI07KQwOc1wEcQ,1,2016-01-14,Bad service twice in a row...really I couldn't believe it at first I thought it was me but the second time no way never going to this one again,1,0,0
LHOl7CZn-rkUOD03kBrCQA,DxMf7lbUwQlbvKyZyO5MDA,UeF2F2GTjHCskRghAJSbtg,4,2015-12-10,"This place is pitched exactly right for the Mon-Thur folks - business hotel or somewhere to stay close to the airport for easy commuting.

Visiting Toronto for business, working about a 10min drive from here. 

Like the other guests, found the front desk staff to be polite, pleasant and easy to deal with. 
The room is clean and pretty decent in size, the bathroom again clean, with shower over bath.

Food wise - breakfast is included, as well as a light dinner on Mon-Thur. Nothing to write home about, but it gets the job done for a low fuss staying in meal. No room service, but a few take out menus in the room information folder. There is a small shop next to front desk with some basic staples and snacks.

There's tea and coffee available in the lobby area all the time, the coffee is actually pretty good for hotel filter coffee.

There's a free shuttle that runs half hourly to the airport - at 20 past and 10 to the hour. Unless you're right near the pick up time, in my opinion it's so close that a taxi ride would be money well spent to avoid prolonging your trip.

The area is pretty competitive - plenty of hotels to choose from. From this visit's experience, I would stay again.",1,0,0
goUgH5yAduEetCdi6nKvPQ,sYaC_hGGkKCo38voJhrlYw,tFCqpc9gvCtNVNOssJGa2Q,3,2014-07-18,"Went here on a Friday. Place was busy. Got the highfive ipa which  was decent for an ipa 

Got the monster sandwich which was more hoagie than filling so it was disappointing. Should have got two more beers Instead. Cheese was not even melted. 

Over all I would go again but maybe expecting less before I come.",3,0,0
o-3ElO6jKr9uqzSENJMUXA,AIJMhq-NUF9VZEnGbdWhHA,ftvZ6BVmbZndKcVPEdakIQ,5,2012-04-16,I was introduced to  this spot by a Venezuelan boss and he stands by their authenticity.  Says it's just like the street food back home. I've been  here a couple times and this laid back cafe dishes out some fine eats. My favourite is the curvy queen (which is supposedly the original arepa!). I prefer the Argentine style empanadas but these cornmeal ones are pretty delish too. Great friendly service.  Definitely stop by if you ever get the chance! Give their malt beverage a try if you're up for it. I like the taste of the polar but not every does!,0,0,0
67GuY9Jp0aOwUH5mR3XqGQ,42XZNMnktSgJnowEHOYPuQ,OA5Li3ySzhrbG_WvD_QGYA,5,2017-04-18,"This is an outstanding taqueria. The tacos are large and delicious. When we went, the place was packed and we had a 20 minute. No problem, on Tuesdays, there are margarita specials, and Barrio has some really good margarita offerings, which are served in mason jars.

Ordering is done on a pre-printed tablet like you find in sushi bars. You can pick from a variety of a la carte tacos, or you can build your own. They have about a half dozen sides to go with your tacos.

I ordered 3 tacos and 2 sides. I was stuffed, and I am not a small man. The servers were friendly  and engaging. The decor was Mexican Death (skeletons). The atmosphere was boisterous, and everyone was having a good time.

I'll be going back.",0,0,0
KZurqfkRGVmeHRI4OZYwOg,M3My5CtVoToHpDH0HcbhmA,V1hH7vAq5wNDo2P3z8zJLg,5,2007-09-16,"My Vote for Best Jukebox in PHX Metro. Misfits, Dead Kennedy's, umm yea, real music. I missed the sign that said ""Black T-Shirts Only"", but i met the dress code. This bar most reminds me of some of my favorite Baltimore\/Fell's Point Dive Bars: Sharpie everywhere, stickers, tons of homemade stickers, a couple shitty pool tables, er.... Wait.. Is there 2?, ha, I'm usually pretty buzzed by the time I leave, hmm TGFCB(Thank God For Cheap Beer) and they got it.  I still have my headache from last night, haha. Chuck(the owner, I think) is a great guy and the grls are pretty ok too. Smokers can choose fore or aft exterior spots for their wildest carcinogenic pleasures.  All in All, PV is a great spot. If you don't own a Black T, only own white sneakers or think the Dead Kennedy's are Bobby & Jack, don't worry, MIll Ave is only a short drive East, when you get there head North. Unless you have a Black T, then you can turn South and hit the Timeout Lounge at Mill and Southern, heh",2,2,2
Yg3JG-OOZe4H4ws9HR58xQ,MHiZ9Hbb6EIwRVGPFC46tg,3L8D5tGJ4FzQQo6ZMvbVYg,1,2017-03-06,"Moved in a couple months ago right around the corner from this place and I decided to stop in and try it. 
Walked in last Thursday around 530, we were greeted at the front and sat ourselves in the patio. 
The place seemed bare for a happy hour crowd with only three groups there. And I can see why. 
Waitress and the bartender walked past us a few times without any acknowledgement. After 20 minutes of waiting without receiving any service we walked out. 
Will not be back.",1,0,0
LON3sfWcE-8BTbJp1JARPg,qVc1_XDbv391nA2bd6950g,3yb5khz4PCjiHI4ZbxfitA,1,2015-03-15,"We were delivered the completely wrong pizza. I only noticed it was the wrong pizza after I flipped it over. Yes. I had to flip the pizza over to see what it was because it got folded over during delivery.  I called the store and they offered to remake and redeliver the pizza, in 35 minutes. I'm not sure what happened or why they didn't just call delivery guy and tell him to deliver my actual pizza.

Update: 
New pizza delivered. Absolutely no sauce, and no crust flavoring. Called for a refund  and the manager wanted me to GO TO THE STORE to pick up a refund. No, thanks.",2,0,0
emkU_iDMLAK1018neDAXPw,cgToQysedhGksNp443ZRpw,xKQVtEWiPK6hq0DljVnAfg,1,2017-02-08,"This hospital is absolutely disgusting and practices bad business. I went to the ER on a Sunday after being told by quick care that they didn't have the equipment to help me. I had a herniated disc and was unable to walk and in excruciating pain. I was left waiting in the ER hallway and finally a nurse came to give me a nerve block shoot, after she stood me up over the sink in the ER bathroom. I was then sat back in my wheelchair and pushed back into the hallway. I asked if I could lay down because this helped with the pain. They proceeded to put me on a gernuy that was in the hallway which was recently vacated by another patient without even changing the bedding. After about 4 hours they said they were going to send me home that there was nothing they could do for me. Now I'm getting billed $850 for an ER Dr I never saw. This is bad business and bad bad behavior. If I could give a negative rating I would give them a -10.",1,0,0
qHRAD3UuO3pBDTMpzE0IvA,X-YPiTnifiY9_wU6TOdqwA,R_M4P9XetEM-aLE7eHdthw,4,2016-09-29,"Wow... Im not to much of a sushi guy but decided to have a date night with my wife and saw yelp reviews for this place... Its super close and walking distance!! Very great atmosphere,  very ( and I mean very) attentive service!! We went for reversed happy hour, and to our amazement, we were basically the only customers there!! Hense the attentiveness... We ended up getting served by Paul and John who suggested a few appetizers and drinks to start off with... $2 PBR all day!! Everyday!! Great deal, but NOT my type of beer so I had the Kiltlifter for $3.50 a pint, which isnt a bad price at all... My wife had the Vegas roll and I had a Dynamite roll... Awesome portions for the happy hour deal!! We ended up not sharing because of my Avocado allergy. (I know yelpers, an allergy to avocado sux, BIG ONE)... The rolls were fantastic and I never expected to get the amount of food we got for the price we paid!! Kudos to Paul and John for a Great time, and great service!! Awesome prices, we paid less then $40 for 2 people!! The only down side was the amount of up-selling they were trying to do, probably because of how slow it must have been... We WILL be back though!!! My wife and I really, really loved it!!!",0,0,1
